ENDE	End
SCHALTERSPANNUNG	Switch Voltage
VOL	Volume
KLOPFREGELUNG	Knock Control
ADAPTIVWERT	Adaptive Value
VORBEREITEN	Prepare
CBD	CBD
DME3	Engine Control 3
ALLES	All
DATA	Data
DIAGNOSTICEND	Diagnostic End
CRC	CRC
LANG	Long
HARDWARETEST	Hardware Test
INITIALISIERUNG	Initialization
LOGIN	Login
DATENVERKEHR	Data Traffic
AUSLESEN	Read Out
READBACKUPMEMORY	Read Backup Memory
FREIGEBEN	Enable
SETZE	Set
ASCII	ASCII
AKTIV	Active
AUSLOESUNGEN	Triggers
BSZ	Operating Hours Counter
LIBELLE1	Level Bubble 1
OBDII	OBD-II
DK1	Throttle Valve 1
AC	AC
EINREGELZEIT	Settling Time
BIN	Binary
ABSCHALTUNG	Shutdown
FUNKTIONS	Functional
GESCHWINDIGKEIT	Speed
HANDBREMSE	Handbrake
MEMORY	Memory
KLOPFEN	Knocking
ABNUETZUNGSINDEX	Wear Index
MFL	Steering Wheel Controls
VERSTAERKUNG	Gain
MASSE	Ground
ABBRUCH	Abort
OBD	OBD
RAD	Wheel
ONLINE	Online
SUMMER	Buzzer
UEBERDREH	Overrev
MODEL	Model
EINSPRITZ	Injection
AUDIO	Audio
BUEGEL	Bracket
LV	Front Left
FREQUENZ	Frequency
LECKAGEWERT	Leakage Value
AUF	Open
LLABG	Idle Adjustment
HELLIGKEIT	Brightness
PAL	PAL
RUECKWAERTSGANG	Reverse Gear
SELBSTHALTUNG	Self-Latching
COMM	Comm
EIN	On
AUS	Off
LL	Idle
ADAPTION	Adaptation
COD	Coding
EINLASS	Intake
LUEFTER	Fan
CO	CO
EINLERNEN	Adaptation
EWS	Immobilizer
EVAUSBL	EVAP Shutoff
AUFTRAG	Request
HERSTELLER	Manufacturer
KD	Service
ADD	Add
DICHTHEIT	Leak Tightness
MUL	Multiplexer
SLP	Secondary Air Pump
BANK1	Bank 1
VERBRAUCH	Consumption
AEI	AEI
TEVSYS	Purge Valve System
DOWN	Down
CAN	CAN
KOREL	Correlation
LSHK1H	O2 Sensor Bank1 Heater
MOTORTEMPERATUR	Engine Temperature
SYSTEM	System
DEFAULT	Default
BLOCKLAENGE	Block Length
KFZ	Vehicle
ID	ID
EDIC	EDIC
ISN	ISN
PASSWORT	Password
BIS	Up To
MESSEMODE	Measurement Mode
ALC	ALC
ENTLUEFTEN	Bleed
STATI	Status
KR	Knock Control
KUPPLUNGSCHARAKTERISTIK	Clutch Characteristic
POSITION	Position
SPORTMODUS	Sport Mode
UBATT	Battery Voltage
DISA	DISA Intake Flap
DEK	Decode
HLS4	Oxygen Sensor Heater 4
SEEK	Seek
TESTPRG	Test Program
REQPOWERTRAINFREEZEFRAMEDATA	Request Powertrain Freeze Frame
TRANSPARENTMODE	Transparent Mode
LEERLAUF	Idle
RSK	RSK
EINFACH	Simple
ZEICHN	Sign
PARAMETERSATZ1	Parameter Set 1
DATEI	File
AUFRECHT	Maintain
DISTANCE	Distance
DWA	Alarm System
QUICK	Quick
HERSTELLERTEST	Manufacturer Test
INNENTEMP	Interior Temperature
LOGIN2	Login 2
PHYSICAL	Physical
CLEAR	Clear
REQUESTSEEDANDSENDKEY	Request Seed Send Key
SCHLUESSEL	Key
TEL	Telephone
LIN	LIN Bus
LLSTELLER	Idle Actuator
BATTERIEINTEGRATOR	Battery Integrator
BUFFER	Buffer
LIBELLE2	Level Bubble 2
BEDARF	Demand
DK2	Throttle Valve 2
HYDRAULIK	Hydraulics
EINSPRITZZEIT	Injection Time
COMMON	Common
MINUS	Minus
FUNKTIONSSTATI	Function Status
GETRIEBEAUSGANGSDREHZAHL	Transmission Output Speed
EINGANGE	Inputs
KL30	Terminal 30
KM	Kilometers
KUPPLUNGSPOSITION	Clutch Position
LENKRADSCHALTUNG	Steering Wheel Shift
KK	KK
LUFTDRUCK	Air Pressure
NL	NL
OUTPUT	Output
REGELUNGSWERTE	Control Values
VIRTUELL	Virtual
KENNFELDTHERMOSTAT	Map Thermostat
BESTROMUNGSZEIT	Energization Time
ROHWERT	Raw Value
ZSI	ZSI
BATTERIETAUSCH	Battery Replacement
VERSTELL	Adjustment
RH	Right
HEADROOM	Headroom
KF	Map
KUPPLUNGSEINLERNWERTE	Clutch Adaptation Values
MUTE	Mute
HISTOGRAM	Histogram
RUNTERSCHALTEN	Downshift
BESTROMEN	Energize
ADRESSEN	Addresses
VERWERFEN	Discard
VANOS	VANOS
LS	Oxygen Sensor
KTEST	Component Test
ADAPT	Adaptation
IS	Actual
DIAGNOSE	Diagnosis
POTI	Potentiometer
IST	Actual
CODIERUNG	Coding
STELLER	Actuator
BLOCK	Block
PM	PM
IO	OK
PROG	Program
HERSTELLERDATEN	Manufacturer Data
SONDENHEIZUNG	Sensor Heating
AGK	EGR Cooler
EBL	Single Cylinder Ignition
SOLL	Target
SLV	Secondary Air Valve
BANK2	Bank 2
ZIF	ZIF
CODE	Code
VVT	VVT
SCHL	Key
SIGNALE	Signals
KUEHLW	Coolant
LSHK2H	O2 Sensor Bank2 Heater
SYNC	Sync
VIN	VIN
DROSSELKLAPPE	Throttle Valve
VERRIEGELUNG	Locking
DIAGNOSEPROTOKOLL	Diagnostic Log
FGNR	Chassis Number
KW	Crankshaft
RAM	RAM
SELBSTTEST	Self Test
VERTAUSCHT	Swapped
EINLERNVORGAENGE	Teach-In Procedures
SIGNALS	Signals
HFM	Air Mass Meter
KUPPLUNGSSCHLEIFPUNKT	Clutch Engagement Point
PWG1	Accelerator Pedal Sensor 1
NWG	Camshaft Sensor
REF	Reference
DMTLP	Tank Leak Pump
INK	Increment
KOE	KOE
UP	Subroutine
UPROG	Subprogram
REQRAWMODE	Request Raw Mode
LM	Air Mass
E46	E46
UMSTELLUNG	Changeover
INDEX	Index
PARAMETERSATZ2	Parameter Set 2
CS	Checksum
ERHALTEN	Received
ON	On
FLAG	Flag
SHADOW	Shadow
IBS	Battery Sensor
INTERFACETYPE	Interface Type
MABIKI	Thinning
QUICKTEST	Quick Test
READ	Read
CRU	CRU
SEED	Seed
ANZ	Count
SSECUHVN	SSECUHVN
ANLASSERFREIGABE	Starter Enable
BATTERIESPANNUNG	Battery Voltage
SWITCH	Switch
DATENSATZ	Data Record
LIH	LIH
DKHFM	Throttle Air Mass Meter
EINGAENGE	Inputs
EKS	Electronic Steering Lock
FASTA2	FASTA2
FGRPOT	Cruise Control Potentiometer
FUSSHEBELFEHLBETAETIGUNG	Pedal Misoperation
GETRIEBEEINGANGSDREHZAHL	Transmission Input Speed
INKREMENTE	Increments
KLEMME	Terminal
KOPPELFEDER	Coupling Spring
RELATIV	Relative
DREHGEBER	Rotary Encoder
LUFTBEDARF	Air Demand
MESSWERTEBLOCK	Measured Value Block
STAT	Status
RUECKFAHRLICHT	Reverse Light
SHIFT	Shift
WERTE	Values
FLANKENADAPTION	Edge Adaptation
TAN	TAN
ZUENDWINKEL	Ignition Angle
REGISTRIEREN	Register
SOUND	Sound
RV	RV
HOCHSCHALTEN	Upshift
THERMOSTAT	Thermostat
LDP	Leak Diagnosis Pump
HK	Heating
NEUTRAL	Neutral
LOSSES	Losses
SAUGSTRAHLPUMPE	Suction Jet Pump
SSP	SSP
STARTEN	Start
WECHSELCODE	Rolling Code
