TONE	Tone
ECHTZEITDATEN	Real-Time Data
ANALYSIS	Analysis
SYSTEMZUSTAND	System State
AUSGABE	Output
CODIEREN	Coding
READECU	Read ECU
FAKTOR	Factor
TESTMODUS	Test Mode
NEUFAHRZEUG	New Vehicle
DEPENDING	Depending
MULTIFUNKTION	Multifunction
ABFRAGE	Query
STARTWERTRUECKSETZUNG	Start Value Reset
ENTRIEGELN	Unlock
WECHSEL	Change
LENKWINKELOFFSET	Steering Angle Offset
LIEFEREANTENNUMMER	Supplier Part Number
NORM3	Norm 3
PSEUDO	Pseudo
REICHWEITENSCHWELLE	Range Threshold
SEKUNDAER	Secondary
KONFIGURIEREN	Configure
DIAGNOSTICS	Diagnostics
ABGASTEMP	Exhaust Temp
KL15W	Terminal 15W
UNTER	Under
AMPLITUDEN	Amplitudes
ENGINE3	Engine 3
HEATER	Heater
DC	DC
BOOST	Boost
AUTOADRESIERUNG	Auto Addressing
BATTERIELEITUNGSDIAGNOSE	Battery Cable Diagnosis
BEDIENTASTER	Control Button
TEILE	Parts
ROTOR	Rotor
BOTSCHAFTEN	Messages
EINGANGSSIGNALE	Input Signals
TEMPOMAT	Cruise Control
FCAN	F-CAN
ZUENDKREISE	Ignition Circuits
SINK	Sink
GIERRATEN	Yaw Rates
SATINFO	Satellite Info
BLOECKEANZAHL	Block Count
DME4	DME 4
INTERRUPT	Interrupt
POWERFOLLOWUP	Power Follow-Up
KLAPPEN	Flaps
KUEHLMITTELSTAND	Coolant Level
DKG	Dual-Clutch Trans
ASK	Audio System Controller
MECHANISCHER	Mechanical
SCHRITTANZAHL	Step Count
NULLGANG	Neutral Gear
ANTENNEN	Antennas
PROPORTIONAL	Proportional
RADMOMENTEN	Wheel Torques
RDU	Tire Pressure
ROTORLAGESENSOR	Rotor Position Sensor
ESN	ESN
SEKUNDAERSPEICHER	Secondary Memory
HARDWARENUMMER	Hardware Number
VERSIONIERUNG	Versioning
SOFTWARENAME	Software Name
PULSE	Pulse
STATUSBYTE2	Status Byte 2
STROMREGLER	Current Regulator
VERBUNDEN	Connected
TAST	Button
TEMPERATURMONITOR	Temperature Monitor
INCREASE	Increase
UMGEBUNGSTEMPERATUR	Ambient Temp
BODY	Body
GATEWAYMODULES	Gateway Modules
VIA	Via
WEGE	Paths
ZUENDKREISWIDERSTAENDE	Ignition Circuit Resistances
CENTER	Center
CORRECTION	Correction
AUTOADRESSIERUNG	Auto Addressing
BILD	Image
YEAR	Year
COMFORT	Comfort
PRUEF	Test
MESSUNG	Measurement
FREQUENZBAND	Frequency Band
GONG	Chime
KAELTEMITTELVERDICHTER	Refrigerant Compressor
SENDE	Send
LADER	Charger
ROT	Red
STANDALONE	Standalone
MOTORLAGER	Engine Mount
WISH	Wish
OL	Oil
RADELEKTRONIK	Wheel Electronics
PINS	Pins
SEQUENCE	Sequence
SATZLESEN	Record Read
ZFLS	Steering
EINSTELLEN	Adjust
MODIFICATION	Modification
PWM	PWM
FH	Window Lifter
SENSOREN	Sensors
SZM	Center Switch Module
LED	LED
DVD	DVD
DYN	Dynamic
TMC	Traffic Message Channel
STANDARDISIERUNG	Standardization
GEN	Generator
HISTORIESPEICHER	History Memory
ALL	All
UBAT	Battery Voltage
FACTORY	Factory
PTC	PTC Heater
FREQUENCY	Frequency
MESSDATEN	Measurement Data
TILT	Tilt
GW	Gateway
CHANGE	Change
DOWNLOAD	Download
DWS	Wheel Rotation Monitor
TIMER	Timer
SCHWELLE	Threshold
INNENLICHT	Interior Light
PHYS	Physical
SELECT	Select
REGULATOR	Regulator
QUERBESCH	Lateral Acceleration
WASSERPUMPE	Water Pump
EPS	Electric Power Steering
HMI	HMI
WERKSTATT	Workshop
DEAKTIVIEREN	Deactivate
AUSGAENGE	Outputs
DELAY	Delay
LOCALID	Local ID
KENNLINIE	Characteristic Curve
NORM	Norm
DYNAMISCH	Dynamic
MAN	Manual
STATISTIKDATEN	Statistics Data
AMPLIFIER	Amplifier
AUX	Aux
CKMDATA	CKM Data
TASTE	Button
GYRO	Gyro
LADEDRUCK	Boost Pressure
LIGHT	Light
TUER	Door
FRISCHLUFT	Fresh Air
SCHLIESSEN	Close
SYSTEMTEST	System Test
ASC	Stability Control
VARIABLE	Variable
CODDATA	Coding Data
MISC	Misc
CALC	Calc
AKTUALISIEREN	Update
PASSKEY	Passkey
ADDRCODINGDEFAULT	Address Coding Default
FLAGS	Flags
FUNCTION	Function
FILTERWERTE	Filter Values
PROD	Production
CODES	Codes
FZD	Roof Function Center
FEHLERSPEICHER	Fault Memory
STATISTIKZAEHLER	Statistics Counter
MOMENTENKENNLINIE	Torque Characteristic Curve
KOPF	Head
ANTENNENKONFIGURATION	Antenna Configuration
BAUREIHE	Series
BLINKERRUECKSTELLUNG	Turn Signal Reset
NAECHSTE	Next
DEBUG	Debug
DISC	Disc
WISCHERTASTER	Wiper Switch
FWV	Firmware Version
BLOCKIERUNG	Blocking
INCLINATION	Inclination
IP	IP
KINDERSICHERUNG	Child Lock
LAUFWERK	Drive
SCHRITTZAHLEN	Step Counts
SWNR	Software Number
PROVISIONING	Provisioning
REV	Rev
SCHRITTMOTORE	Stepper Motors
AUXVERBINDUNG	Aux Connection
VERBRAUCHERREDUZIERUNG	Load Reduction
EINSCHALTVERSUCHE	Power-On Attempts
DREHZAHLFUEHLER	Speed Sensor
GANGANZEIGE	Gear Display
KOMPONENTEN	Components
FUNKTIONSTEST	Function Test
REGLERGROESSE	Controller Variable
SINUSGENERATOR	Sine Generator
ULF	Hands-Free Module
REVISION	Revision
RESTART	Restart
TJA	Traffic Jam Assist
ENTWICKLERBOTSCHAFTEN	Developer Messages
TABELLE	Table
INI	Init
USER	User
LADEZYCLEN	Charge Cycles
WERKSEINSTELLUNG	Factory Setting
CRASH	Crash
DIAGTUNNELLING	Diagnostic Tunneling
AENDERN	Change
EXECUTE	Execute
GERAETEDATEN	Device Data
MANUELLER	Manual
ERWEITERT	Extended
JUSTAGEKENNLINIE	Adjustment Curve
LERNWERT	Learned Value
SPRACHVARIANTE	Language Variant
MESSE	Measure
NORM4	Norm 4
WERKSPROZESS	Factory Process
REGISTERS	Registers
SOURCES	Sources
SIGNATURPRUEFUNG	Signature Check
GIERRATENEMPFINDLICHKEIT	Yaw Rate Sensitivity
ABSOLUTER	Absolute
LEERLAUFLUFT	Idle Air
AGS	Automatic Transmission Control
EVAP	EVAP
ENGINE4	Engine 4
OBD2	OBD2
NOTENTRIEGELUNGEN	Emergency Releases
AUSSCHWINGZEITEN	Settling Times
AVERAGE	Average
BATTERIETRENNGRUND	Battery Disconnect Reason
BEDIENUNG	Operation
BOOTVERSION	Boot Version
MILE	Mile
CDC	CD Changer
PROTOKOLL	Protocol
AND	And
NTC	NTC
TX	TX
SONDENDIAG	Oxygen Sensor Diagnosis
EINSPRITZMENGE	Injection Quantity
FAHRERLENKWINKEL	Driver Steering Angle
FESTSTELL	Parking Brake
FREISCHALTUNG	Activation
EXTERNAL	External
GESCHWINDIGKEITEN	Speeds
GLOBAL	Global
GURTKONTAKTE	Belt Contacts
AGGREGATE	Aggregates
WARNEREIGNIS1	Warning Event 1
ACCELERATION	Acceleration
SHUTDOWN	Shutdown
LINES	Lines
ISTSTAND	Actual Level
FAHRER	Driver
VERSTELLBEREICH	Adjustment Range
KODIERDATEN	Coding Data
KUEHLMITTELTEMPERATUR	Coolant Temp
LICHTTASTER	Light Switch
QUADRANT	Quadrant
AVAILABLE	Available
MIXER	Mixer
MOTORISTMOMENT	Engine Actual Torque
ERKENNUNG	Detection
PHASENSPANNUNGEN	Phase Voltages
VERBAUT	Installed
RAMDATA	RAM Data
ROUTE	Route
FIRMWARE	Firmware
BEREICHE	Ranges
HARDWARESTERNNUMMER	Hardware Star Number
SICHERHEIT	Safety
SLIDE	Slide
DREHZ	Speed
SPERRBEDINGUNGEN	Lock Conditions
STATUSBYTE3	Status Byte 3
STAENDE	Levels
DXC	Dynamic Stability
GEDRUECKT	Pressed
ISTZUSTAND	Actual State
TRANSPONDER	Transponder
HUB	Stroke
CODINGRELEVANT	Coding Relevant
GATEWAYTABELLE	Gateway Table
FM	FM
ZWANGSHOCHSCHALTUNG	Forced Upshift
AIRCON	Air Conditioning
ATEMP	Ambient Temp
AUTODETEKT	Auto Detect
BUSSE	Buses
NOTIFIED	Notified
NACHEINANDER	Sequential
IMPULS	Pulse
NORMIERUNG	Normalization
RICHTUNG	Direction
ROTATION	Rotation
KLANGZEICHEN	Sound Signal
UEBERNEHMEN	Apply
ODO	Odometer
LHZ	Auxiliary Heater
MEMORIES	Memories
OUTPUTPORT	Output Port
PUMPENSTROM	Pump Current
DIAGSTAT	Diagnostic Status
RINGBRUCH	Ring Break
SERIENNR	Serial Number
REVERSIEREN	Reverse
LOOP	Loop
TRACK	Track
HARD	Hard
WASCHDUESE	Washer Nozzle
ZENTRALE	Central
VERSIONEN	Versions
STELLEN	Set
NEWSEELAND	New Zealand
VAR	Variant
CURRENT	Current
SHD	Sunroof
LIST	List
LAMPEN	Lamps
ADAPTIONSWERT	Adaptation Value
CAR	Car
LCD	LCD
FUNKTIONSBELEUCHTUNG	Function Lighting
LEUCHTEN	Lights
DTC	DTC
NEUE	New
IMAGE	Image
FUNKTION	Function
ALARM	Alarm
SPEED	Speed
DESULFATISIERUNG	Desulfation
DEAK	Deactivate
ABGLEICHFLAG	Calibration Flag
CKM	Car Key Memory
BATTERIE	Battery
STATE	State
APPLICATION	Application
CONNECTION	Connection
RINGSPEICHER	Ring Buffer
ADRECOVERY	Address Recovery
LENKWINKEL	Steering Angle
ENGINE	Engine
PRODUCTION	Production
REMOTE	Remote
AKTIVE	Active
BUTTON	Button
ERSATZPROGRAMME	Replacement Programs
FALSE	False
SENSE	Sense
SELECTIV	Selective
TESTBILD	Test Image
ERASE	Erase
LERNWERTE	Learned Values
QUERBESCHLEUNIGUNG	Lateral Acceleration
SECURITY	Security
SUMMENLENKWINKEL	Total Steering Angle
HOEHENSTAND	Ride Height
CVT	CVT
LEISTUNGSSTUFE	Power Stage
LOG	Log
EV3	EV3
LANGUAGE	Language
SEARCH	Search
MICROPHONE	Microphone
WECKRINGSPEICHER	Wake Ring Buffer
AENDERUNG	Change
DISABLE	Disable
SPERRE	Lock
REVERSIERUNGS	Reversing
GLOBALFLG	Global Flag
VOLLSCHRITT	Full Step
BATTERY	Battery
RF	RF
PROGRAMMING	Programming
NAVDVDPIN	Nav DVD PIN
LOWTOL	Low Tolerance
SUPPORT	Support
TRANSFER	Transfer
DIMM	Dim
SIGNATURTEST	Signature Test
ABGASTEMPERATUR	Exhaust Temperature
GETRIEBECODE	Transmission Code
DME1	DME 1
LEHNE	Backrest
NACHZIEHEN	Retighten
BREMSEN	Brakes
HIGHLEVEL	High Level
MASTER	Master
FAHRGESTELLNUMMER	Chassis Number
PFAD	Path
GAIN	Gain
AXIS	Axis
STROEME	Currents
KLASSIERSPEICHER	Classification Memory
LESESTATISTIK	Read Statistics
SUMME	Sum
PORTS	Ports
PTCAN	Powertrain CAN
RUHESTROMMESSUNG	Quiescent Current Measurement
EMPFINDLICHKEIT	Sensitivity
SOFT	Soft
BELASTUNG	Load
VIDEOEINGANG	Video Input
VERDAMPF	Evaporator
GESAMT	Total
RETURN	Return
LUEFTER2	Fan 2
RELAIS	Relay
AUSSEN	Exterior
KRAFTEINSATZ	Force Application
ZERO	Zero
PERSISTENT	Persistent
SOLLSTROM	Target Current
SUBBUS	Sub-Bus
LENGTH	Length
DENORMIERUNGS	Denormalization
TRACENUMMER	Trace Number
ALT	Old
EXTRAHIEREN	Extract
ZENTRALCODE	Central Code
BEDIENKONZEPTZUSTAENDE	Operating Concept States
FRIENDLY	Friendly
BUFFERS	Buffers
AUSLOESEN	Trigger
KWP	Keyword Protocol
CID	CID
FAHRGESTELL	Chassis
SELBST	Self
PRGDATE	Program Date
EXTENDED	Extended
SSI	SSI
JUSTIERUNG	Adjustment
MOSTREGISTER	MOST Register
LAYER	Layer
MITTELWERTE	Average Values
KALIBRIERWERTE	Calibration Values
MISLOCK	Mislock
MANUFACTURER	Manufacturer
EXIT	Exit
MAXIMUM	Maximum
SONDERJOB	Special Job
LEFT	Left
ABSTAND	Distance
AKT	Current
BASE	Base
ENGINE5	Engine 5
UMGEBUNGSHELLIGKEIT	Ambient Brightness
PRUEFUNG	Test
SYSTEMKONTEXTE	System Contexts
MESSAGE	Message
BATTERIETRENNUNGSANZAHL	Battery Disconnect Count
BEGRENZ	Limit
BORDNETZSPANNUNG	Vehicle Voltage
DEPENDENT	Dependent
CONTACTBOOK	Contact Book
DAUERLAUFDATEN	Endurance Run Data
DIGITAL1	Digital 1
DYNAMIK	Dynamics
EINZELADRESIERUNG	Single Addressing
FAHRPEDALWINKEL	Accelerator Pedal Angle
LOCAL	Local
IPCONFIG	IP Config
GM	Body Module
HALLSENSOREN	Hall Sensors
HORIZONTAL	Horizontal
WARNEREIGNIS2	Warning Event 2
STEPS	Steps
VARIABLES	Variables
CRUISE	Cruise
DRIVERS	Drivers
KLAPPTOP	Convertible Top
KOMFORT	Comfort
KUP	Clutch
LASTWSENSOR	Load Sensor
SYSTEMAUDIO	System Audio
LINEARSENSOREN	Linear Sensors
PHYSIKALISCH	Physical
USAGE	Usage
MLFB	Order Number
MOTORSOLLMOMENT	Engine Target Torque
PHASENSTROEME	Phase Currents
QLT	Quality
READABLE	Readable
REG	Reg
RUHESTROMWECKZAEHLER	Quiescent Current Wake Counter
SENSORPARAMETER	Sensor Parameters
ZUSAMMENBAUNUMMER	Assembly Number
SICHERHEITSFAHRZEUG	Security Vehicle
SOLLSTAND	Target Level
SPERRSTELLUNG	Lock Position
STATUSBYTE4	Status Byte 4
STAND	Level
AKTIVIERUNG	Activation
TRIMMREG	Trim Reg
STACK	Stack
FLASHABLE	Flashable
VSYNC	VSync
WIEDERHOLZAEHLER	Repeat Counter
RECIRC	Recirculation
AUDIOMATRIX	Audio Matrix
AUTOSTORE	Auto Store
WACH	Awake
MASK	Mask
DIGITALSIGNALE	Digital Signals
HAFTSYSTEM	Adhesion System
INITIALISATION	Initialization
DEFROST	Defrost
KRAFTSTOFFPUMPE	Fuel Pump
LINEAR	Linear
MMI	MMI
FESTSTELLKRAFT	Clamping Force
PANEL	Panel
DISPLAYBELEUCHTUNG	Display Lighting
REP	Rep
RUHESTROMUEBERWACHUNG	Quiescent Current Monitoring
SIRENE	Siren
GETAKTET	Clocked
TESTSTAND	Test Bench
VOICE	Voice
AUSSENSPIEGEL	Exterior Mirror
SOLLKONFIGURATION	Target Configuration
TASTENSTATUS	Button Status
ZAEHLERSTAENDE	Counter Readings
ANA	Analog
GURTBRINGER	Belt Presenter
FREEZEFRAME	Freeze Frame
NAVI	Navigation
SPIEGEL	Mirror
LSM	Light Switch Module
COMPILER	Compiler
INTEGRATOREN	Integrators
ZYL	Cylinder
CLR	Clear
TORQUE	Torque
LEVELS	Levels
PARAMETERS	Parameters
TO	To
TIME	Time
VOLTAGE	Voltage
KOMPRESSOR	Compressor
BOOT	Boot
OUTPUTS	Outputs
HDD	Hard Disk Drive
OELPUMPE	Oil Pump
REASON	Reason
DRUCKSENSOR	Pressure Sensor
LAENGSBESCHLEUNIGUNG	Longitudinal Acceleration
LEDS	LEDs
FALLBACK	Fallback
DIMMWERT	Dimming Value
INTERNER	Internal
ANTENNE	Antenna
NEUSTART	Restart
PAGE	Page
UMLUFT	Recirculated Air
TRANSDIAG	Transmission Diagnosis
PARAMETRIERT	Parameterized
ANALOGWERTE	Analog Values
ROUTING	Routing
CONTROLLER	Controller
GENERATE	Generate
LESE	Read
RATIO	Ratio
STOPPEN	Stop
LAENGS	Longitudinal
BETAETIGUNGEN	Actuations
SERVICE	Service
EML	Electronic Throttle
EV4	Injection Valve 4
PERSONALISIERUNG	Personalization
INNENBELEUCHTUNG	Interior Lighting
LASTSIGNAL	Load Signal
NAVICHECK	Navigation Check
VERBAU	Installation
BREMSENTEMPERATUR	Brake Temperature
LONG	Long
HECKROLLO	Rear Sunshade
HUD	Head-Up Display
GLOBALVAR	Global Variable
WARTEZEIT	Wait Time
DELETE	Delete
CCC	Car Communication Computer
SERVZEIT	Service Time
TESTJOB	Test Job
GROBLECK	Gross Leak
SLEEPTIMEOUT	Sleep Timeout
PLAUSIWERTE	Plausibility Values
NULL	Null
TRIGGER	Trigger
REPORT	Report
HYDRAULIKPUMPE	Hydraulic Pump
CLUTCH	Clutch
LEHNENKOPF	Backrest Head
BELEUCHTUNG	Lighting
GEBLREGLER	Blower Controller
LOWLEVEL	Low Level
SLAVE	Slave
EINBREMS	Brake-In
FAHRZEUGAUFTRAG	Vehicle Order
FORMAT	Format
COUNT	Count
LICENSE	License
DAUERAUS	Permanent Off
ISTWERTE	Actual Values
KLEMMEN	Terminals
TESTMAP	Test Map
POSITIONSDATEN	Position Data
SCHIEBERWEG	Slider Travel
SPANNUNGSWERTE	Voltage Values
TANKINHALT	Tank Content
THR	Throttle
LIMIT	Limit
VERDECKZAEHLER	Convertible Top Counter
ZUSATZ	Additional
WERK	Factory
ELVCOUNTER	Steering Lock Counter
REPAIR	Repair
MITTE	Center
LAENGE	Length
NO	No
PUSHHOLD	Push Hold
TEILNEHMER	Participant
MICRO	Micro
GENINFO	General Info
DISPLAYBEREICH	Display Area
ZURUECK	Back
CHIP	Chip
BETRIEBSSTUNDEN	Operating Hours
AUFTRAG2	Order 2
INVALID	Invalid
CO2	CO2
DATENSATZNUMMER	Dataset Number
DISPLAYTEST	Display Test
EINBREMSPROZEDUR	Brake-In Procedure
FAHRZEUG	Vehicle
GETTICKCOUNT	Get Tick Count
SN	Serial Number
IDENTIFIKATION	Identification
KALIBRIERSTATUS	Calibration Status
DIAGNOSEINDEX	Diagnostic Index
VARIANTENINDEX	Variant Index
FORTFUEHREN	Continue
POTIANSCHLAEGE	Potentiometer Stops
FROM	From
BASIC	Basic
END	End
SOS	SOS
LEWI	Steering Angle
ABTRIEBSDREHZ	Output Speed
ISTPOSITION	Actual Position
DME2	DME 2
ENGINE7	Engine 7
VBAT	Battery Voltage
ANTENNENSPANNUNG	Antenna Voltage
ARRAY	Array
AIRBAGS	Airbags
RECEPTION	Reception
BEDIENANFORDERUNGEN	Operating Requests
BESCHLAG	Fogging
SYSTEMSTATUS	System Status
GRAPHICS	Graphics
CLAMP	Clamp
CONNECTED	Connected
DELTA	Delta
DIR	Direction
DYNAMISCHE	Dynamic
KENNLINIEN	Characteristic Curves
CREATE	Create
DEVICES	Devices
GETR	Transmission
HARDWAREVERSION	Hardware Version
INAKTIVEREIGNIS1	Inactive Event 1
WARNEREIGNIS3	Warning Event 3
IMOTOR	Engine Current
INTERNE	Internal
DRIVING	Driving
OK	OK
KATALYSATOR	Catalytic Converter
KI	Instrument Cluster
AKTORIK	Actuators
LECKLUFT	Leak Air
ANZUGSKRAFT	Clamping Force
LOUDNESS	Loudness
HALL	Hall Sensor
BLOCK1	Block 1
DETECT	Detect
MOTORSTROM	Motor Current
MW5	Measured Value 5
ATF	Transmission Fluid
QUALIFIER	Qualifier
RATIOMETRISCHE	Ratiometric
REGELUNGSDATEN	Control Data
SCHALTERBLOCK	Switch Block
SERNR	Serial Number
PRODUCT	Product
NUMERISCH	Numeric
SPANNKRAFT	Clamping Force
SPRACHEN	Languages
STATUSBYTE5	Status Byte 5
ENTWICKLUNG	Development
TACHOPULSE	Speedometer Pulse
HISTORIE	History
THROTTLE	Throttle
FOR	For
ISO14229	ISO 14229
VERSORGUNGEN	Supplies
WAEHLHEBELSTELLUNG	Selector Lever Position
AKTUATORIK	Actuators
BZW	Respectively
BASS	Bass
HALTEN	Hold
